"","FECHAPROCESO","TIPOTX","CANAL","valtransaccion","transacciones","consistentes","conciliado","peso_val","peso_trans"
"124","2022-09-03","CreditosRecibidos","ACH",2934446.94333982,10788,10784,99.962921764924,0.0625929538570585,1.01376971414664
"125","2022-09-03","DebitosEnviados","ACH",149534.04610951,347,340,97.9827089337176,0.0031896223816332,0.0326082768640047
"126","2022-09-03","DebitosRecibidos","ACH",183362.493494624,1488,1484,99.7311827956989,0.00391119700442137,0.139830305399536
"127","2022-09-03","DevolucionesCreditosEnviados","ACH",3190074.52739437,142,136,95.7746478873239,0.0680455948085785,0.0133440210797944
"128","2022-09-03","DevolucionesCreditosRecibidos","ACH",1835478.95212291,179,179,100,0.0391515169891168,0.0168209843188958
"129","2022-09-03","DevolucionesDebitosEnviados","ACH",203431.483783482,896,894,99.7767857142857,0.00433927677800847,0.0841988935739141
"130","2022-09-03","DevolucionesDebitosRecibidos","ACH",145434.906735751,193,177,91.7098445595855,0.00310218606173051,0.0181365920309882
"131","2022-09-03","PagosDIANEnviados","PSE",4656013.10043668,229,203,88.646288209607,0.0993146643236969,0.0215195832906544
"132","2022-09-03","PagosDIANRecibidos","PSE",162670318.2,10,10,100,3.46982443970073,0.00093971979435172
"133","2022-09-03","PagosEmpresasEnviados","PSE",375147.03552687,10923,8039,73.5969971619518,0.00800203974982088,1.02645593137038
"134","2022-09-03","PagosEmpresasRecibidos","PSE",2331318.60989458,1328,1221,91.9427710843374,0.0497279797497891,0.124794788689908
"135","2022-09-03","PagosSSSEnviados","PSE",1244618.79381443,679,578,85.1251840942563,0.026548228076732,0.0638069740364818
"136","2022-09-03","PagosSSSOtrosCanalesEnviado","PSE",265000,5,0,0,0.0056525584181263,0.00046985989717586
"137","2022-09-03","PagosSSSRecibidos","PSE",678281.862217438,1858,106,5.70505920344456,0.0144680296231682,0.17459993779055
"138","2022-09-03","SeguridadSocialONIFRecibidos","ACH",93182.5641025641,390,0,0,0.00198762221562469,0.0366490719797171
"139","2022-09-04","CreditosEnviados","ACH",3563464.14575122,5724,4503,78.6687631027254,0.0760101481311597,0.537895610286925
"140","2022-09-04","CreditosRecibidos","ACH",2480208.95435829,10550,10544,99.9431279620853,0.052903871711963,0.991404383041065
"141","2022-09-04","DebitosEnviados","ACH",167635.300561798,356,349,98.0337078651685,0.00357572954477631,0.0334540246789212
"142","2022-09-04","DebitosRecibidos","ACH",249439.236786427,1503,1501,99.8669328010645,0.00532064097248346,0.141239885091064
"143","2022-09-04","DevolucionesCreditosEnviados","ACH",2331422.7086,150,147,98,0.0497302002177651,0.0140957969152758
"144","2022-09-04","DevolucionesCreditosRecibidos","ACH",932408.632653061,196,196,100,0.0198886576061762,0.0184185079692937
"145","2022-09-04","DevolucionesDebitosEnviados","ACH",208319.91936694,853,850,99.6483001172333,0.00444354910898487,0.0801580984582017
"146","2022-09-04","DevolucionesDebitosRecibidos","ACH",163076.267605634,213,176,82.6291079812207,0.00347848350660695,0.0200160316196916
